Security,Name,Sector,INDUSTRY,Year,Quarter,Index,Closing Stock Price,SP Volatility,MC RAW,Log MCap,PB RAW,Book to Mkt,ROA,Total Assets,Asset Growth,ESGCombinedScore,EnvironmentPillarScore,GovernancePillarScore,SocialPillarScore,ESG Momentum,ESG Mom-Env,ESG Mom - Gov,ESG Mom - Social
AC CN Equity,Air Canada,Industrials,Manufacturing,2022,Q4,2022-Q4,19.39,2.972208775,6962915840,22.66386417,839.7355347,0.001190851,-7.516568184,29753.99936,-0.020089609,0.539633922,0.800361534,0.88989446,0.723027743,0.109291567,0.169935059,0.118802198,0.062734192
AC CN Equity,Air Canada,Industrials,Manufacturing,2023,Q1,2023-Q1,19.15,2.908062069,6863493120,22.64948235,839.7355347,0.001190851,-5.655261993,29507.00032,-0.008301373,0.469813662,0.792396923,0.850823512,0.685330364,-0.06982026,-0.007964611,-0.039070948,-0.037697378
AC CN Equity,Air Canada,Industrials,Manufacturing,2023,Q2,2023-Q2,24.99,0.769956709,8957712384,22.91578072,839.7355347,0.001190851,-2.398670912,30475.99923,0.032839628,0.469813662,0.792396923,0.850823512,0.685330364,-0.06982026,-0.007964611,-0.039070948,-0.037697378
AC CN Equity,Air Canada,Industrials,Manufacturing,2023,Q3,2023-Q3,19.38,1.364218335,6947129344,22.66159437,12.63114357,0.079169395,1.641945004,30783.00058,0.010073545,0.469813662,0.792396923,0.850823512,0.685330364,-0.06982026,-0.007964611,-0.039070948,-0.037697378
AC CN Equity,Air Canada,Industrials,Manufacturing,2023,Q4,2023-Q4,18.69,2.517631162,6699790848,22.62534215,8.416823387,0.118809669,7.602900028,29696.99942,-0.035279249,0.469813662,0.792396923,0.850823512,0.685330364,-0.06982026,-0.007964611,-0.039070948,-0.037697378
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2015,Q1,2015-Q1,30.0313,1.190571446,5197527552,22.37144888,1.596086979,0.626532271,2.492655993,17688.99994,0.010107381,0.396978134,0.288909685,0.546953551,0.428057989,-0.034344847,-0.074230679,-0.017940997,0.004299792
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2015,Q2,2015-Q2,26.4378,2.916252125,4546976768,22.2377284,1.396965981,0.715837045,2.250065088,17955.00032,0.015037616,0.396978134,0.288909685,0.546953551,0.428057989,-0.034344847,-0.074230679,-0.017940997,0.004299792
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2015,Q3,2015-Q3,26.4174,3.758745309,4514950144,22.23065998,1.365257978,0.732462301,1.885332942,18147.99974,0.010749063,0.396978134,0.288909685,0.546953551,0.428057989,-0.034344847,-0.074230679,-0.017940997,0.004299792
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2015,Q4,2015-Q4,24.2275,2.393650762,4107735808,22.13613782,1.223588943,0.817267928,1.376678944,18662.00064,0.02832273,0.396978134,0.288909685,0.546953551,0.428057989,-0.034344847,-0.074230679,-0.017940997,0.004299792
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2016,Q1,2016-Q1,26.8634,2.439469345,4518471680,22.23143965,1.341456056,0.745458635,0.838231981,19054.99955,0.021058777,0.401272698,0.322112753,0.571414916,0.381978989,0.004294564,0.033203068,0.024461365,-0.046079
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2016,Q2,2016-Q2,31.1943,2.566516668,5192025600,22.37038975,1.54786694,0.646050364,0.912083983,19103.00058,0.002519078,0.401272698,0.322112753,0.571414916,0.381978989,0.004294564,0.033203068,0.024461365,-0.046079
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2016,Q3,2016-Q3,32.2778,2.505470056,5346150400,22.39964259,1.574877024,0.634970214,1.182706952,19392.99942,0.015180801,0.401272698,0.322112753,0.571414916,0.381978989,0.004294564,0.033203068,0.024461365,-0.046079
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2016,Q4,2016-Q4,31.1272,2.113851312,5122024960,22.3568157,1.443997025,0.692522202,1.251440048,19534.00013,0.007270701,0.401272698,0.322112753,0.571414916,0.381978989,0.004294564,0.033203068,0.024461365,-0.046079
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2017,Q1,2017-Q1,36.2967,2.42625137,5930008576,22.5032915,1.646888971,0.607205475,1.753525972,19723.99923,0.009726585,0.315754225,0.247122122,0.383333333,0.354795162,-0.085518473,-0.074990631,-0.188081582,-0.027183827
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2017,Q2,2017-Q2,35.8231,1.536910422,5815187968,22.48373895,1.621366024,0.61676388,1.691797018,20027.00083,0.015362077,0.315754225,0.247122122,0.383333333,0.354795162,-0.085518473,-0.074990631,-0.188081582,-0.027183827
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2017,Q3,2017-Q3,32.5903,1.812417548,5252987904,22.38206288,1.452633023,0.688405113,1.579267025,20118.99904,0.004593709,0.315754225,0.247122122,0.383333333,0.354795162,-0.085518473,-0.074990631,-0.188081582,-0.027183827
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2017,Q4,2017-Q4,32.2532,0.943037759,5159636992,22.36413206,1.375550032,0.726981918,1.430992961,20578.0009,0.022814349,0.315754225,0.247122122,0.383333333,0.354795162,-0.085518473,-0.074990631,-0.188081582,-0.027183827
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2018,Q1,2018-Q1,29.9241,2.632948947,4748883456,22.28117537,1.323649049,0.755487265,1.05516696,21785.99936,0.058703393,0.299249274,0.239375089,0.386178964,0.31379149,-0.016504951,-0.007747033,0.002845631,-0.041003672
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2018,Q2,2018-Q2,29.6328,3.102239707,4656373760,22.26150282,1.304970026,0.766301126,0.98645401,22346.99981,0.025750503,0.299249274,0.239375089,0.386178964,0.31379149,-0.016504951,-0.007747033,0.002845631,-0.041003672
